Artist,Song,Album,Year,URL
Adexe y Nau,Solo amigos,Tú & yo,2017,https://www.youtube.com/watch?v=b4MI7ppIoYo
Alejandro Torres,Un loquito como yo,Música Para Cuarteto De Cuerda Y Cuadro Flamenco,2006,https://www.youtube.com/watch?v=b8cqTZSfuGw
Alex Zurdo,Lo que se va,Se trata de Ti,2006,https://www.youtube.com/watch?v=oWk5x-aK4Wk
Alex Zurdo,A pesar de mi,UNO (pistas originales),2022,https://www.youtube.com/watch?v=Zcv9COf0rkU
Alex Zurdo,como las Aguilas,Mañana es hoy,2012,https://www.youtube.com/watch?v=CG3lY_SO6eg
Alex Zurdo,Cuando yo te conoci Dios,DTOX,2022,https://www.youtube.com/watch?v=PsDghdJperY
Alex Zurdo,Salmo 23,,,https://www.youtube.com/watch?v=oLlB2jvjZHY
Alex Zurdo,Donde estas,A Z Live,2014,https://www.youtube.com/watch?v=6hSj0fwJZ8M
Alfredo Escudero,La rompe corazones,Coralia,1986,https://www.youtube.com/watch?v=J8QztU7QgzE
Bailando Bachata,Chayanne,,,https://www.youtube.com/watch?v=dsLjyLn859g
Coqueta,Alan Walker,,,https://www.youtube.com/watch?v=uswZszIYTj0
Don Omar,Danza Kudoro,Don Omar,2012,https://www.youtube.com/watch?v=7zp1TbLFPp8
Enrique Iglesias,Me pase,"Final, vol. 1",2021,https://www.youtube.com/watch?v=JE9urbO7bNU
Farruko,Alan Walker,"Club Sounds: The Ultimate Club Dance Collection, Vol. 90",2019,https://www.youtube.com/watch?v=dhYOPzcsbGM
Jonathan Chaves,La loca que me gusta,Eu Vou Lá,2019,https://www.youtube.com/watch?v=mgFzSbjuTrE
Kim Laiza,Devoto,,,https://www.youtube.com/watch?v=mxF58TYuPaM
Kim Laiza,Fragil,,,https://www.youtube.com/watch?v=sddswklyvqM
Lesny,Si hablan mal de mi,,,https://www.youtube.com/watch?v=UIWTR9aETy4
manuel Turizo,La Bachata,Los Nº1 de los 40 (2022),2022,https://www.youtube.com/watch?v=TiM_TFpT_DE
Manuel Turizo - Marshmello,El merengue,Sugar Papi,,https://www.youtube.com/watch?v=25vNYV0qdgA
Maria Berrocal - Enrique iglesias,Asi es la vida,ASI ES LA VIDA,,https://www.youtube.com/watch?v=XUoXE3bmDJY
Marshmello,Esta Vida,Sugar Papi,,https://www.youtube.com/watch?v=wy5jmYfmX5U
Nenito Vargas,La ultima mariposa,Tango argentino: El ruiseñor de Buenos Aires,1996,https://www.youtube.com/watch?v=lBs5We-zo_k
Nenito Vargas,Vuelva mariposita,¡Maravilloso! Un siglo del tenor continental,2006,https://www.youtube.com/watch?v=VvB9fvfF5WI
Nenito Vargas,Amor barato,Songlines: Top of the World 98,2014,https://www.youtube.com/watch?v=trPAV50leuw
REDMI2,La niña de los ojos de Dios,,,https://www.youtube.com/watch?v=hl7QLMDazpA
Romeo Santos,Canaya,,,https://www.youtube.com/watch?v=8zcZC4HVr68
Soltera,Shakira,,,https://www.youtube.com/watch?v=oBofuVYDoG4
Victor Bernal,Kilometros,,,https://www.youtube.com/watch?v=LK4IW14QOxI
Victor Bernal,Quisiera hacerte mia,Capullito de Rosa,2000,https://www.youtube.com/watch?v=0ucJpL7S5Vo
Victor Bernal,No quiero sufrir mas,"Que Si, Que No",2000,https://www.youtube.com/watch?v=qPp4AEAsLIg
Zacarias Marin,Homenaje al Poeta,I Love Bachata 2011,,https://www.youtube.com/watch?v=8D13xDFHF8E
Zacarios Ferreira,Asesina,El amor,2017,https://www.youtube.com/watch?v=QSCVVYd1y7Q
