Archivo,Problema,Valor Actual,Artista Sugerido,Título Sugerido,Confianza,Patrón
"Bruno Mars - Billionaire radio edit.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Billionaire radio edit","Bruno Mars","Billionaire radio edit","0.90","artist_title_dash"
"Bruno Mars - Billionaire radio version.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Billionaire radio version","Bruno Mars","Billionaire radio version","0.90","artist_title_dash"
"Bruno Mars - Billionaire.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Billionaire","Bruno Mars","Billionaire","0.90","artist_title_dash"
"Bruno Mars - Bubble Butt remix.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Bubble Butt remix","Bruno Mars","Bubble Butt remix","0.90","artist_title_dash"
"Bruno Mars - Gorilla demo.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Gorilla demo","Bruno Mars","Gorilla demo","0.90","artist_title_dash"
"Bruno Mars - Gorilla G-Mix.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Gorilla G-Mix","Bruno Mars","Gorilla G-Mix","0.90","artist_title_dash"
"Bruno Mars - Gorilla.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Gorilla","Bruno Mars","Gorilla","0.90","artist_title_dash"
"Bruno Mars - Grenade.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Grenade","Bruno Mars","Grenade","0.90","artist_title_dash"
"Bruno Mars - If I Knew.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - If I Knew","Bruno Mars","If I Knew","0.90","artist_title_dash"
"Bruno Mars - Locked Out of Heaven Major Lazer remix.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Locked Out of Heaven Major Lazer remix","Bruno Mars","Locked Out of Heaven Major Lazer remix","0.90","artist_title_dash"
"Bruno Mars - Locked Out of Heaven Paul Oakenfold remix.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Locked Out of Heaven Paul Oakenfold remix","Bruno Mars","Locked Out of Heaven Paul Oakenfold remix","0.90","artist_title_dash"
"Bruno Mars - Locked Out of Heaven.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Locked Out of Heaven","Bruno Mars","Locked Out of Heaven","0.90","artist_title_dash"
"Bruno Mars - Money Make Her Smile.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Money Make Her Smile","Bruno Mars","Money Make Her Smile","0.90","artist_title_dash"
"Bruno Mars - Moonshine The Futuristics remix.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Moonshine The Futuristics remix","Bruno Mars","Moonshine The Futuristics remix","0.90","artist_title_dash"
"Bruno Mars - Moonshine.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Moonshine","Bruno Mars","Moonshine","0.90","artist_title_dash"
"Bruno Mars - Natalie.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Natalie","Bruno Mars","Natalie","0.90","artist_title_dash"
"Bruno Mars - Old  Crazy.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Old  Crazy","Bruno Mars","Old  Crazy","0.90","artist_title_dash"
"Bruno Mars - Show Me.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Show Me","Bruno Mars","Show Me","0.90","artist_title_dash"
"Bruno Mars - THE LAZY SONG ALBUM VERSION ブルーノマーズザレイジーソング.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - THE LAZY SONG ALBUM VERSION ブルーノマーズザレイジーソング","Bruno Mars","THE LAZY SONG ALBUM VERSION ブルーノマーズザレイジーソング","0.90","artist_title_dash"
"Bruno Mars - The Lazy Song.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - The Lazy Song","Bruno Mars","The Lazy Song","0.90","artist_title_dash"
"Bruno Mars - Treasure.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Treasure","Bruno Mars","Treasure","0.90","artist_title_dash"
"Bruno Mars - When I Was Your Man.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - When I Was Your Man","Bruno Mars","When I Was Your Man","0.90","artist_title_dash"
"Bruno Mars - Young Girls demo.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Young Girls demo","Bruno Mars","Young Girls demo","0.90","artist_title_dash"
"Bruno Mars - Young Girls.mp3","both_missing_pattern_in_filename","Filename: Bruno Mars - Young Girls","Bruno Mars","Young Girls","0.90","artist_title_dash"
